% # columns=["iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=391692, Sun Nov 27 17:04:31 2016
0 1 1 0 0 0.999999798414 1.0000001447 1.00000021277 1.0000001119 0.999999893465 1.00000003154 0.999999757866 1.00000013947
1 11 0.93166564217 0 0 0.917665869343 0.924200923131 0.953547724872 0.926949292481 0.920383163149 0.911967133676 0.911319866204 0.921466668687
2 21 0.851520516402 0 0 0.831282069011 0.824917179391 0.859592383302 0.828624486894 0.836729365243 0.823323646501 0.816118432338 0.879751277597
3 31 0.772237804622 0 0 0.745144397126 0.733311444729 0.763424090493 0.749661959063 0.745597327881 0.728212012562 0.73377860953 0.786405217482
4 41 0.7526189335 0 0 0.728044864695 0.698468153414 0.751078981537 0.714107682005 0.729423097756 0.736436082783 0.702966093894 0.751030867287
5 51 0.702471296704 0 0 0.669225722339 0.636207106033 0.712825860927 0.650546721176 0.686437347124 0.678149910505 0.639670701223 0.692009441284
6 61 0.679267135481 0 0 0.641471830962 0.601121336404 0.699711024008 0.642823755045 0.659870228011 0.642582349492 0.616959833927 0.658347571961
7 71 0.641394413394 0 0 0.592169118823 0.556689548343 0.658272020166 0.603111626099 0.637207734696 0.600954373586 0.5678965631 0.609564619613
8 81 0.590888704543 0 0 0.543558817286 0.508988180423 0.613572708766 0.545471633212 0.579214657283 0.54157724586 0.525324470174 0.546749266786
9 91 0.620299206788 0 0 0.57982888224 0.561303410862 0.636300444192 0.566604896591 0.60372211138 0.563498599406 0.565354203327 0.583156532398
10 101 0.639129730591 0 0 0.58950553618 0.591942369822 0.646562524373 0.571572675493 0.608014355092 0.578022505617 0.596258883192 0.602055987137
